State,Longitude,Latitude,EV Level2 EVSE Num
VA,-80.3639672878592,37.1351237162989,1.0
VA,-76.525609,37.146699,1.0
VA,-76.525986,37.148296,2.0
VA,-76.531052,37.151806,1.0
VA,-76.532885,37.153009,1.0
VA,-76.533028,37.153023,1.0
VA,-76.532621,37.153133,2.0
VA,-80.4203,37.1581,1.0
VA,-80.422517,37.162246,4.0
VA,-80.427109,37.162259,2.0
VA,-80.4188552025339,37.16316026276,2.0
VA,-80.411408,37.179806,2.0
VA,-76.490472,37.194887,1.0
VA,-80.419887,37.197398,1.0
VA,-80.401173,37.199289,4.0
VA,-80.416751,37.204556,1.0
VA,-80.4192812918064,37.2076379654743,2.0
VA,-80.4473980989607,37.2173909570292,1.0
VA,-76.667372,37.224983,2.0
VA,-79.988175,37.225855,2.0
VA,-80.416506,37.229543,2.0
VA,-80.416542,37.22958,2.0
VA,-80.416577,37.229616,2.0
VA,-80.429844,37.22983,2.0
VA,-80.431354,37.23173,1.0
VA,-76.511345,37.232314,2.0
VA,-80.434053,37.232473,2.0
VA,-80.432667,37.234356,2.0
VA,-76.508866,37.23833,1.0
VA,-80.4173270792459,37.2419859952308,2.0
VA,-76.659244,37.242105,4.0
VA,-77.37319,37.250286,1.0
VA,-79.943726,37.256565,2.0
VA,-79.943726,37.256573,2.0
VA,-79.94377,37.256714,2.0
VA,-77.324621,37.260555,1.0
VA,-76.682976,37.263408,3.0
VA,-79.9574781307,37.2637655416,1.0
VA,-80.032974,37.265455,4.0
VA,-76.697804,37.269064,6.0
VA,-76.685716,37.269286,1.0
VA,-76.687178,37.270224,1.0
VA,-76.706737,37.272854,2.0
VA,-79.946207,37.27289,1.0
VA,-76.70634,37.272891,2.0
VA,-79.943717,37.273376,3.0
VA,-76.707207,37.274779,3.0
VA,-76.7093882,37.2758523,2.0
VA,-76.740153,37.279645,2.0
VA,-79.933227,37.280149,2.0
VA,-79.941017,37.281965,6.0
VA,-78.397282,37.28648,2.0
VA,-78.397337,37.286485,2.0
VA,-78.397397,37.286494,2.0
